대학 입학 구분,진로 선택 및 취업준비 프로그램 참여 횟수,GPA,학자금대출 금액,휴학 횟수,석사/박사 재학여부
1,5,84.44,130,1,0
2,0,82.22,0,0,0
1,1,73.33,700,0,0
1,1,95.56,0,0,0
1,0,86.67,0,0,0
1,3,84.44,0,0,0
1,2,66.67,3000,0,0
1,0,66.67,0,1,0
1,1,77.78,0,0,0
1,0,95.56,0,0,0
1,3,95.56,0,0,0
1,4,88.89,0,0,0
1,2,73.33,0,0,0
1,5,71.11,150,1,0
1,2,88.89,1000,0,0
1,2,62.22,0,0,0
1,1,82.22,0,0,0
1,0,84.44,0,0,0
1,3,88.89,0,0,0
1,4,66.67,0,0,0
1,2,97.78,0,0,0
1,0,88.89,0,1,0
1,1,77.78,0,0,0
1,0,80,0,0,0
1,1,82.22,0,0,0
1,3,80,0,0,0
1,1,95.56,2000,0,0
1,2,82.22,0,0,0
1,0,64.44,0,0,0
1,3,57.78,1200,0,0
1,2,71.11,0,0,0
1,2,51.11,300,2,0
1,2,62.22,0,0,0
1,3,93.33,0,0,0
1,4,77.78,0,0,0
1,1,77.78,0,0,1
1,2,95.56,0,0,0
1,0,93.33,0,0,0
1,3,91.11,0,0,0
1,2,77.78,0,0,0
1,4,84.44,0,0,0
1,1,93.33,0,0,0
1,4,84.44,0,0,0
1,0,77.78,0,0,0
1,2,82.22,0,1,0
1,0,88.89,0,0,0
1,2,77.78,0,0,0
1,0,77.78,1200,1,0
1,4,68.89,0,0,0
1,2,91.11,0,0,0
1,0,84.44,0,0,0
1,1,93.33,0,0,0
1,0,95.56,0,0,0
1,1,84.44,0,0,0
1,5,80,0,0,0
1,2,84.44,0,0,0
1,1,84.44,0,0,0
1,1,60,0,0,0
1,1,82.22,0,0,0
1,0,88.89,0,0,0
1,0,77.78,0,0,0
1,2,80,0,0,0
1,1,66.67,0,0,0
1,4,84.44,150,0,0
1,2,88.89,0,0,0
1,2,86.67,0,0,0
1,3,86.67,0,0,0
1,2,77.78,0,0,0
1,2,62.22,0,0,0
1,0,88.89,0,0,0
1,2,75.56,0,0,0
1,1,84.44,1200,0,1
1,5,80,0,1,0
1,0,86.67,2000,2,0
1,0,62.22,0,1,0
1,2,93.33,0,1,0
1,4,73.33,0,1,0
2,2,86.67,0,0,0
1,3,64.44,1300,2,0
1,3,97.78,0,0,0
1,2,73.33,0,1,0
1,5,91.11,0,2,0
1,1,82.22,0,2,0
1,0,71.11,0,0,0
1,5,82.22,0,1,0
1,0,88.89,0,2,0
1,3,84.44,0,1,0
1,2,82.22,2000,1,0
1,3,88.89,0,0,4
1,0,84.44,0,1,1
2,3,84.44,0,0,0
1,1,64.44,1600,1,0
1,5,84.44,0,0,0
1,2,75.56,0,0,0
1,3,75.56,450,1,0
1,1,73.33,0,0,0
1,3,73.33,1500,1,0
2,1,93.33,0,0,1
1,2,75.56,0,1,0
1,4,82.22,0,0,0
1,3,80,1000,1,0
1,0,80,1000,1,0
2,3,95.56,0,0,1
1,2,91.11,0,0,0
1,3,84.44,50,1,0
1,3,66.67,200,1,1
1,2,66.67,1000,1,1
1,8,75.56,0,1,0
1,3,75.56,0,0,0
1,0,62.22,310,1,0
1,0,53.33,0,1,0
1,0,93.33,0,0,0
1,0,93.33,0,1,0
1,2,84.44,0,1,0
1,1,86.67,100,1,0
1,5,93.33,450,1,0
1,2,73.33,0,1,1
1,0,84.44,1000,1,0
1,1,66.67,0,0,1
1,3,66.67,0,0,0
1,3,82.22,0,1,0
1,1,86.67,0,1,0
1,6,66.67,370,0,0
1,7,93.33,0,1,0
1,2,71.11,0,2,0
1,6,84.44,0,1,0
1,3,62.22,2800,0,0
1,2,77.78,2600,0,0
1,3,68.89,340,1,0
1,3,77.78,0,0,0
1,1,73.33,0,0,0
1,4,95.56,0,0,0
1,5,75.56,0,2,0
2,3,84.44,3400,1,0
1,5,84.44,0,0,0
1,3,95.56,0,0,0
1,1,84.44,80,2,0
1,0,80,300,0,0
1,3,93.33,400,0,0
1,3,75.56,300,0,0
1,1,66.67,0,1,0
1,4,51.11,0,1,0
1,2,91.11,0,1,0
2,0,88.89,0,0,0
1,4,84.44,0,2,0
1,5,86.67,0,1,0
1,1,66.67,150,1,0
1,2,91.11,0,0,0
2,0,93.33,500,0,1
1,3,91.11,0,0,0
1,0,73.33,0,1,0
1,5,84.44,0,1,0
1,1,80,0,0,0
1,2,91.11,2000,2,0
1,3,66.67,1000,0,0
1,5,82.22,0,1,0
1,7,82.22,500,1,0
1,4,95.56,0,0,0
1,0,71.11,0,0,0
1,5,68.89,0,1,0
1,3,88.89,0,0,0
1,8,68.89,0,3,0
1,2,80,0,0,0
1,1,80,0,2,0
1,1,91.11,800,0,1
1,0,84.44,5400,0,1
1,4,75.56,0,0,0
1,7,93.33,300,3,0
1,4,71.11,0,1,0
1,6,80,0,0,0
1,1,88.89,600,1,0
1,3,95.56,1200,3,0
1,0,84.44,0,1,0
