혼인여부 및 배우자 학력,아버지 학력,어머니 학력,부모님 소득,부모님 자산,가정의 경제적 지원
0.0,7,4,1,2,0.0
0.0,6,6,8,2,0.0
0.0,7,6,4,6,0.0
0.0,7,6,6,4,0.0
0.0,2,2,0,3,0.0
0.0,5,4,5,4,0.0
0.0,4,3,5,4,0.0
0.0,2,2,8,3,110.0
0.0,6,6,5,4,0.0
0.0,7,4,6,4,0.0
0.0,4,4,6,2,0.0
0.0,6,6,5,4,0.0
0.0,6,6,5,4,0.0
0.0,7,6,8,1,0.0
0.0,6,7,6,5,70.0
0.0,6,6,7,3,0.0
0.0,4,4,0,0,0.0
0.0,7,6,7,5,70.0
0.0,7,6,6,4,0.0
0.0,4,4,5,3,0.0
0.0,7,6,5,5,0.0
0.0,6,6,5,3,40.0
0.0,7,4,3,3,0.0
0.0,6,4,4,4,0.0
0.0,7,6,8,4,70.0
0.0,5,5,6,4,0.0
0.0,7,6,8,6,0.0
0.0,6,6,2,1,0.0
0.0,2,2,1,2,0.0
0.0,6,6,6,4,0.0
0.0,6,6,6,5,0.0
0.0,6,6,4,2,0.0
0.0,6,6,6,3,0.0
0.0,2,3,2,1,0.0
0.0,4,5,5,2,30.0
0.0,4,4,4,1,0.0
0.0,7,6,4,3,0.0
0.0,7,6,5,3,0.0
0.0,5,4,5,4,0.0
0.0,7,6,0,5,20.0
0.0,4,4,3,5,0.0
0.0,6,6,4,4,0.0
0.0,3,3,5,6,0.0
0.0,4,4,4,3,0.0
0.0,7,4,6,4,0.0
0.0,6,7,5,3,0.0
0.0,5,4,5,1,0.0
0.0,6,6,2,2,0.0
0.0,5,4,6,6,0.0
0.0,4,4,5,2,70.0
0.0,5,4,4,3,50.0
0.0,4,4,7,4,15.0
0.0,7,5,8,5,0.0
0.0,6,4,6,2,30.0
0.0,6,4,0,6,0.0
0.0,5,4,2,2,0.0
0.0,7,4,2,2,0.0
0.0,6,6,7,4,100.0
0.0,4,4,3,5,0.0
0.0,4,5,3,4,50.0
0.0,4,5,7,5,0.0
0.0,3,4,6,5,0.0
0.0,4,4,5,4,0.0
0.0,4,4,4,2,0.0
0.0,4,5,0,6,30.0
0.0,6,6,5,4,0.0
0.0,7,6,5,3,0.0
0.0,7,7,8,6,70.0
0.0,3,4,2,2,0.0
0.0,4,4,3,2,30.0
0.0,4,4,0,5,0.0
0.0,6,6,6,3,0.0
