본분교,국공사립,학위과정유형,주야간,전공계열,전공_소분류_코드,학교유형,학교소재지역,성별,연령,혼인여부 및 배우자 학력,아버지 학력,어머니 학력,부모님 소득,부모님 자산,가정의 경제적 지원,대학 입학 구분,진로 선택 및 취업준비 프로그램 참여 횟수,GPA,학자금대출 금액,휴학 횟수,석사/박사 재학여부,구직기간(통합),건강한정도,재학중 일자리 경험,일자리 횟수,시간총합,연수횟수,토익,토스등급,오픽점수,토플ibt,탭스,체류시간,취업여부
1,3,3,1,2,14,1,3,2,21,0,5,4,7,4,0,1,2,88.89,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,3,2,22,0,6,4,3,1,0,1,3,84.44,0,0,0,9,4,1,1,13,0,0,0,0,0,0,0,1
1,3,3,2,2,14,1,2,2,46,5,4,2,0,3,0,1,1,88.89,0,0,0,9,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,2,1,26,0,4,3,2,1,0,1,2,88.89,400,0,0,1,4,1,1,20,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,2,2,21,0,4,4,6,4,20,1,5,91.11,0,0,0,7,4,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,2,14,1,6,1,24,0,4,4,2,1,0,1,0,84.44,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1
1,3,3,2,2,14,1,13,2,40,5,2,1,0,0,0,1,0,95.56,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,13,2,44,6,4,4,4,3,0,1,2,71.11,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,2,2,14,1,13,2,58,5,3,3,3,0,40,1,2,91.11,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,13,2,56,0,2,2,6,2,0,1,0,95.56,0,0,0,52,5,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,13,1,21,0,2,4,0,1,0,1,0,46.67,0,0,0,9,4,2,0,3,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,12,2,50,0,6,2,4,2,0,1,5,97.78,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,15,1,1,2,22,0,3,2,3,2,0,1,5,82.22,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,15,1,5,2,23,0,6,7,4,3,0,1,0,80,0,1,0,0,4,1,1,0,1,0,0,0,0,0,6,1
1,3,3,2,2,15,1,5,2,22,0,6,6,4,2,0,1,7,75.56,0,0,0,17,3,1,1,0,0,760,0,3,0,0,0,1
1,3,3,2,2,16,1,1,2,21,0,4,4,5,3,0,1,7,97.78,0,0,0,17,4,1,2,0,0,0,0,0,0,0,0,1
1,3,3,1,2,16,1,1,2,24,0,4,4,4,3,150,1,3,91.11,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0
1,3,3,1,2,16,1,8,1,25,0,6,5,4,3,0,1,0,80,300,0,0,4,4,1,1,600,0,0,0,0,0,0,0,1
1,3,3,2,2,16,1,8,1,26,0,6,6,5,4,40,1,0,82.22,0,0,0,10,4,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,2,16,1,8,2,23,0,7,3,3,1,20,1,3,64.44,1000,1,0,3,5,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,17,1,9,1,22,0,6,6,5,5,0,1,4,71.11,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1
1,3,2,2,2,17,1,8,1,57,4,3,2,5,4,50,1,0,77.78,0,0,0,48,4,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,2,17,1,8,1,24,0,6,6,5,5,0,1,0,71.11,300,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,5,2,2,17,1,8,2,25,0,6,6,6,3,0,2,1,97.78,0,0,1,4,5,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,17,1,8,1,22,0,6,6,6,4,0,1,0,88.89,0,0,0,53,5,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,17,1,11,2,23,0,4,4,3,3,0,1,3,64.44,0,0,0,4,3,1,4,0,0,0,0,0,0,0,0,1
1,3,3,1,2,17,1,10,1,25,0,6,4,3,2,0,1,6,88.89,300,1,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,3,18,1,13,2,58,5,2,2,0,6,20,1,0,88.89,150,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,3,18,1,13,2,33,4,4,3,6,2,0,1,0,88.89,0,0,0,13,5,2,0,0,0,0,0,0,0,0,0,1
